customer_id,transaction_id,order_id,timestamp,amount,transaction_status,payment_method,bank,failure_reason,checkout_started,checkout_completed,cart_value,subscription_id,subscription_status,subscription_amount,renewal_date,invoice_id,invoice_amount,invoice_due_date,invoice_status,mandate_id,mandate_status,retry_count,payment_method_id,payment_method_expiry,product_id,product_category,product_price,promise_date,promise_status
C00918,T000001,O000001,2026-01-01T00:00:37,1999.0,SUCCESS,UPI,HDFC_BANK,,True,True,2439.93,S01577,ACTIVE,299.0,2026-09-03,,,,,,,,PM04256,2027-02-26,P00272,Office Supplies,1999.0,,
C03068,T000002,O000002,2026-01-01T00:04:05,1299.0,FAILED,MANDATE,KOTAK_BANK,network_error,True,False,1592.73,,,,,,,,,,,,PM03963,2026-07-11,P00003,Accessories,1299.0,,
C03898,T000003,O000003,2026-01-01T00:05:10,799.0,SUCCESS,CARD,HDFC_BANK,,True,True,839.05,,,,,,,,,M02206,ACTIVE,0.0,PM02206,2027-12-20,P00412,Hardware,799.0,,
C02951,T000004,O000004,2026-01-01T00:09:40,1299.0,SUCCESS,UPI,HDFC_BANK,,True,True,1322.6,,,,,,,,,M00328,ACTIVE,0.0,PM04871,2026-10-21,P00003,Accessories,1299.0,,
C01491,T000005,O000005,2026-01-01T00:10:17,45000.0,SUCCESS,UPI,HDFC_BANK,,True,True,53368.12,,,,,,,,,,,,PM00001,2027-12-31,P00014,Electronics,45000.0,,
C04063,T000006,O000006,2026-01-01T00:13:34,999.0,SUCCESS,UPI,KOTAK_BANK,,True,True,1008.31,,,,,,,,,,,,PM01222,2026-09-26,P00275,Accessories,999.0,,
C01002,T000007,O000007,2026-01-01T00:15:17,1499.0,SUCCESS,UPI,SBI,,True,True,1680.58,,,,,,,,,,,,PM04784,2028-08-18,P00488,Accessories,1499.0,,
C02123,T000008,O000008,2026-01-01T00:16:58,499.0,SUCCESS,UPI,ICICI_BANK,,True,True,559.91,S01003,ACTIVE,299.0,2026-09-10,,,,,M01003,ACTIVE,0.0,PM01003,2026-12-20,P00427,Accessories,499.0,,
C01349,T000009,O000009,2026-01-01T00:26:20,65000.0,FAILED,NETBANKING,ICICI_BANK,card_expired,True,False,68661.96,,,,,,,,,,,,PM04002,2027-02-09,P00001,Electronics,65000.0,,
C02483,T000010,O000010,2026-01-01T00:28:19,999.0,SUCCESS,UPI,HDFC_BANK,,True,True,1115.13,,,,,,,,,,,,PM04040,2027-06-26,P00387,Accessories,999.0,,
C01907,T000011,O000011,2026-01-01T00:29:15,1499.0,SUCCESS,CARD,HDFC_BANK,,True,True,1867.14,,,,,,,,,,,,PM00765,2027-01-12,P00317,Accessories,1499.0,,
C00848,T000012,O000012,2026-01-01T00:29:33,15000.0,SUCCESS,UPI,HDFC_BANK,,True,True,15998.59,,,,,,,,,,,,PM00001,2027-12-31,P00168,Electronics,15000.0,,
C03715,T000013,O000013,2026-01-01T00:30:29,5999.0,SUCCESS,NETBANKING,ICICI_BANK,,True,True,7353.8,,,,,,,,,,,,PM01675,2028-10-18,P00476,Hardware,5999.0,,
C00837,T000014,O000014,2026-01-01T00:34:27,85000.0,PENDING,NETBANKING,AXIS_BANK,,True,False,101319.51,,,,,,,,,M02413,ACTIVE,0.0,PM02413,2026-12-24,P00209,Electronics,85000.0,,
C02737,T000015,O000015,2026-01-01T00:53:32,1999.0,SUCCESS,CARD,AXIS_BANK,,True,True,2022.13,,,,,,,,,,,,PM01343,2027-08-17,P00249,Hardware,1999.0,,
C04034,T000016,O000016,2026-01-01T00:54:12,14999.0,SUCCESS,UPI,SBI,,True,True,18439.09,,,,,,,,,,,,PM04552,2026-09-02,P00400,Cloud Services,14999.0,,
C02426,T000017,O000017,2026-01-01T00:57:48,499.0,SUCCESS,CARD,HDFC_BANK,,True,True,594.46,S01918,ACTIVE,999.0,2026-09-01,,,,,,,,PM01918,2026-06-26,P00111,Accessories,499.0,,
C04456,T000018,O000018,2026-01-01T01:06:01,499.0,SUCCESS,UPI,KOTAK_BANK,,True,True,593.06,,,,,,,,,,,,PM04336,2028-11-18,P00225,Accessories,499.0,,
C02112,T000019,O000019,2026-01-01T01:08:58,2999.0,SUCCESS,UPI,HDFC_BANK,,True,True,3315.14,,,,,,,,,,,,PM00001,2027-12-31,P00090,Accessories,2999.0,,
C04859,T000020,O000020,2026-01-01T01:15:54,1999.0,PENDING,CARD,KOTAK_BANK,,True,False,2274.68,S01011,CANCELLED,299.0,2026-08-05,,,,,,,,PM03624,2028-02-22,P00089,Office Supplies,1999.0,,
C00135,T000021,O000021,2026-01-01T01:17:57,499.0,SUCCESS,UPI,KOTAK_BANK,,True,True,582.11,,,,,INV09694,120000.0,2026-08-04,PAID,,,,PM03886,2026-09-01,P00161,Accessories,499.0,,
C03935,T000022,O000022,2026-01-01T01:19:37,1499.0,FAILED,UPI,HDFC_BANK,timeout,True,False,1759.22,,,,,,,,,,,,PM00001,2027-12-31,P00049,Accessories,1499.0,,
